imei,latitude,longitude
4.40E+12,116.511189,40.024377
0144289346618281a08935958000070f,116.291279,40.040684
04c3178bf411965d71674fcd28bf1a79,116.425997,39.884086
073a6be29cf9a2c678d5b6777874bd56,116.459805,40.030223
073a6be29cf9a2c678d5b6777874bd56,116.339575,40.053771
073a6be29cf9a2c678d5b6777874bd56,116.523011,40.237149
07b03b23b60b0df96152947054a27766,116.52117,39.821985
0bd6d7f27fc432acf200c597b9f7447a,116.332085,39.721546
0c48b9ed6086c28588b7ae5440af61e6,116.367491,39.914368
0c48b9ed6086c28588b7ae5440af61e6,116.373919,39.911873
0effc4e1b0d0c36bad869ff95210ddf7,116.241627,40.170119
0f74f29da54be3ad9c9fbcd8bbcb6699,116.264909,40.006076
0fc4677672b89649a5a715515c7540b6,116.327674,40.064717
0fc4677672b89649a5a715515c7540b6,116.399767,40.18097
0fc4677672b89649a5a715515c7540b6,116.127552,40.234481
0fc4677672b89649a5a715515c7540b6,116.127552,40.234481
0fc4677672b89649a5a715515c7540b6,116.399767,40.18097
0fc4677672b89649a5a715515c7540b6,116.127552,40.234481
1013ce0ad0f444da4f2c06802bb4eec7,116.434217,39.933664
1187D272-AF98-4583-841F-4130A3A97EDE,116.499606,39.991122
13776aadb4a7d2d0cd115e905ae5d32e,116.544143,40.069247
13776aadb4a7d2d0cd115e905ae5d32e,116.544143,40.069247
13a44f5201e1d6c3ea52b0288a0a0df4,116.451576,39.995981
15935f0d4fe4a88593c903edb413d20b,116.519405,40.001452
1d6ee6c5dbbbf2a19605bc3082e38a9c,116.325755,39.936482
1dcc11753fbbb22d6d7fe9fc87ddc6c5,116.305968,39.991687
222ffa5b838caf2e7a484ea68194759e,116.515198,39.93385
22c84d6cbb95c87d88ad34916475d347,116.453244,39.881922
22c84d6cbb95c87d88ad34916475d347,116.455931,39.881811
22c84d6cbb95c87d88ad34916475d347,116.453244,39.881922
23b2b1038a7726d8d530acd4f9579682,116.434505,39.924475
245ed1626e900b35ad04e879d239c62d,116.499928,39.617619
245ed1626e900b35ad04e879d239c62d,116.499928,39.617619
245ed1626e900b35ad04e879d239c62d,116.499928,39.617619
2504F7B0-C189-4264-93C7-4D550840EC81,116.683732,40.095984
2679e57c0d084b2b30735ce23c72b8e6,116.424948,39.986277
2679e57c0d084b2b30735ce23c72b8e6,116.374424,39.889221
27ECD520-BEDC-4497-A93C-376B93D114E1,116.385171,40.005994
27d70a734b63b07c47de73c22a5b3181,116.322177,39.899387
28486d7c44138eb8ef72ab6eec01866d,116.397693,39.90603
28486d7c44138eb8ef72ab6eec01866d,116.397693,39.90603
2954f4c84c4265e510f4bc0629d27a86,116.327823,39.937494
2cf9d4bb943fca4e54540b475e46748e,116.491411,39.801063
2d89aa721bdbeb3c9cdfef4735ee1c5c,116.466587,39.934326
2fc1790f7cb3367cf3cb6d57db2dedf3,116.437246,39.930296
30822648a0d053917672d655f530a6e6,116.32415,40.087153
3215A44B-ED53-49F0-B15F-6233CFE9C640,116.374461,40.062187
3215A44B-ED53-49F0-B15F-6233CFE9C640,116.353808,39.942784
32758729e01ae9b7bcb391c72fc32fa4,116.431576,39.989794
32758729e01ae9b7bcb391c72fc32fa4,116.370019,40.001534
32758729e01ae9b7bcb391c72fc32fa4,116.431576,39.989794
3310e55fa127180b792877189ab216e1,116.451681,39.923056
33a0d7115172243c870909087f7a1888,116.427256,39.903695
3.52E+14,116.450905,39.938252
3.52E+14,116.412245,39.918468
3.52E+14,116.328731,39.893888
3.52E+14,116.302251,39.974162
3.52E+14,116.22187,39.899284
3.52E+14,116.411162,39.916669
3.52E+14,116.411162,39.916669
3.52E+14,116.35365,39.937246
3.52E+14,116.35365,39.937246
3.52E+14,116.369621,39.894514
3.52E+14,116.332452,39.952618
3.52E+14,116.332452,39.952618
3.52E+14,116.426248,39.949037
3.52E+14,116.256291,39.972516
3.53E+14,116.520101,39.809296
3.53E+14,116.520101,39.809296
3.53E+14,116.480296,39.924117
3.53E+14,116.312485,39.944678
3.54E+14,116.650848,39.899346
3.54E+14,116.657584,39.890159
3.54E+14,116.642745,39.878723
3.54E+14,116.334819,39.924565
3.54E+14,116.334819,39.924565
3.54E+14,116.402764,39.864162
3.54E+14,116.402764,39.864162
3.54E+14,116.329405,39.746216
3.54E+14,116.407234,39.964482
3.54E+14,116.412987,39.908415
3.54E+14,116.412987,39.908415
3.54E+14,116.468022,39.861852
3.54E+14,116.281606,39.900628
3.54E+14,116.331755,40.029811
3.54E+14,116.331755,40.029811
3.54E+14,116.342736,39.966892
3.54E+14,116.31598,39.980481
3.54E+14,116.280585,39.953769
3.54E+14,116.271558,40.069901
3.54E+14,116.332769,40.030492
3.54E+14,116.18727,39.878957
3.54E+14,116.452641,39.943466
3.54E+14,116.432146,40.049563
3.54E+14,116.432146,40.049563
3.54E+14,116.362544,40.283956
3.54E+14,116.325579,39.883638
3.54E+14,117.148183,40.138219
3.54E+14,116.196179,39.948197
3.54E+14,116.196179,39.948197
3.54E+14,116.238118,40.204377
3.54E+14,116.238118,40.204377
3.54E+14,116.238118,40.204377
3.54E+14,116.246249,40.221286
3.54E+14,116.233209,40.221876
3.54E+14,116.238118,40.204377
3.54E+14,116.238118,40.204377
3.54E+14,116.524748,39.79559
3.54E+14,116.524748,39.79559
3.54E+14,116.524748,39.79559
3.54E+14,116.333686,39.971381
3.54E+13,116.285951,40.093304
3.54E+14,116.3919,39.791904
3.54E+14,116.1954,39.870457
3.54E+14,116.186324,39.909972
3.54E+14,116.455185,39.907628
3.55E+14,116.294137,40.094871
3.55E+14,116.294137,40.094871
3.55E+14,116.338902,40.003331
3.55E+14,116.141802,39.744379
3.55E+14,115.589462,39.640222
3.55E+14,116.413907,39.987866
3.55E+14,115.718491,39.570409
3.55E+14,116.568131,40.429661
3.55E+14,116.667656,40.20319
3.55E+14,116.396607,39.99274
3.55E+14,116.400414,40.023083
3.55E+14,116.400414,40.023083
3.55E+14,116.397693,39.90603
3.55E+14,116.342308,40.072816
3.55E+14,116.326113,39.875621
3.55E+14,116.39864,40.006048
3.55E+14,116.341757,40.115704
3.55E+14,116.682789,39.887016
3.55E+14,116.455703,39.924228
3.55E+14,116.353578,40.021487
3.55E+14,116.204597,39.932859
3.55E+14,116.186736,39.92608
3.55E+14,116.186736,39.92608
3.55E+14,116.302949,39.939685
3.55E+14,116.366879,39.835065
3.55E+14,116.366879,39.835065
3.55E+14,116.366879,39.835065
3.55E+14,116.366879,39.835065
3.55E+14,116.366879,39.835065
3.55E+14,116.497013,39.866141
3.55E+14,116.497013,39.866141
3.55E+14,116.535005,39.882886
3.55E+14,116.602301,39.890979
3.55E+14,116.535005,39.882886
3.55E+14,116.771589,39.621003
3.55E+14,116.367148,39.991054
3.55E+14,116.367148,39.991054
3.55E+14,116.367148,39.991054
3.55E+14,116.234816,40.200143
3.55E+14,116.321159,39.896065
3.55E+14,116.234816,40.200143
3.55E+14,116.169158,40.097098
3.55E+14,116.169158,40.097098
3.55E+14,116.311754,40.034495
3.55E+14,116.169158,40.097098
3.55E+14,116.169158,40.097098
3.55E+14,116.169158,40.097098
3.55E+14,116.341513,39.924083
3.55E+14,116.417517,40.002918
3.55E+14,116.417517,40.002918
3.55E+14,116.417517,40.002918
3.56E+14,116.432797,39.894225
3.56E+14,116.432797,39.894225
3.56E+14,116.432797,39.894225
3.56E+14,116.432797,39.894225
3.56E+14,116.481746,39.994054
3.56E+14,116.314817,39.897699
3.56E+14,116.432797,39.894225
3.56E+14,116.432797,39.894225
3.56E+14,116.438915,39.898953
3.56E+14,116.379006,39.865017
3.56E+14,116.795222,39.780252
3.56E+14,116.793715,39.779754
3.56E+14,116.793715,39.779754
3.56E+14,116.793715,39.779754
3.56E+14,116.795222,39.780252
3.56E+14,116.307174,39.859487
3.56E+14,116.780738,39.775468
3.56E+14,116.471693,39.837873
3.56E+14,116.471693,39.837873
3.56E+14,116.471693,39.837873
3.56E+14,116.764594,39.805887
3.56E+14,116.795222,39.780252
3.56E+14,116.471693,39.837873
3.56E+14,116.471693,39.837873
3.56E+14,116.471693,39.837873
3.56E+14,116.793715,39.779754
3.56E+14,116.495672,40.039591
3.56E+14,116.500384,40.2111
3.56E+14,116.35593,39.846177
3.56E+14,116.721412,39.856363
3.56E+14,116.721412,39.856363
3.56E+14,116.657127,39.889732
3.56E+14,116.657127,39.889732
3.56E+14,116.721412,39.856363
3.56E+14,116.721412,39.856363
3.56E+14,116.721412,39.856363
3.56E+14,116.39755,39.905976
3.56E+14,116.30196,39.95615
3.56E+14,116.399565,39.880936
3.56E+14,116.525987,40.023365
3.56E+14,116.333426,39.929435
3.56E+14,116.547414,40.067715
3.56E+14,116.417643,39.900531
3.56E+14,116.797165,40.183125
3.56E+14,116.378581,39.864252
3.56E+14,116.31107,40.036359
3.56E+14,116.394099,40.008677
3.56E+14,116.830932,40.153422
3.56E+14,116.830932,40.153422
3.56E+14,116.303478,39.912266
3.56E+14,116.196415,39.94465
3.57E+14,116.511817,39.810883
3.57E+14,116.491714,39.807467
3.57E+14,116.452442,39.943494
3.57E+14,116.593819,39.839645
3.57E+14,116.50104,39.93115
3.57E+14,116.571127,39.80272
3.57E+14,116.571127,39.80272
3.57E+14,116.437594,40.001259
3.57E+14,116.276516,39.917985
3.57E+14,116.821316,40.344227
3.57E+14,116.425703,39.962644
3.57E+14,116.425703,39.962644
3.57E+14,116.393149,40.00225
3.57E+14,116.680546,40.120884
3.57E+14,116.680546,40.120884
3.57E+14,116.395829,39.923297
3.57E+14,116.633576,40.097207
3.57E+14,116.633576,40.097207
3.57E+14,116.668698,40.033656
3.57E+14,116.453738,39.893702
3.57E+14,116.568905,40.002959
3.57E+14,116.453738,39.893702
3.57E+14,116.568905,40.002959
3.57E+14,116.478001,39.883576
3.57E+14,116.167656,39.759068
3.57E+14,116.468843,39.842605
3.57E+14,116.161845,39.760864
3.57E+14,116.164128,39.760284
3.58E+14,116.487971,39.890966
3.58E+14,116.521299,39.782875
3.58E+14,116.521299,39.782875
3.58E+14,116.346307,39.726273
3.58E+14,116.521299,39.782875
3.58E+14,116.525743,39.902054
3.58E+14,116.525743,39.902054
3.58E+14,116.525743,39.902054
3.58E+14,116.525743,39.902054
3.58E+14,116.525743,39.902054
3.58E+14,116.499991,39.920521
3.58E+14,116.64889,39.921602
3.58E+14,116.64889,39.921602
3.58E+14,116.64889,39.921602
3.58E+14,116.470172,39.894281
3.58E+14,116.559343,39.908773
3.58E+14,116.293833,39.855253
3.58E+14,116.311754,40.034495
3.58E+14,116.404953,39.904995
3.58E+14,116.404953,39.904995
3.59E+14,116.641183,40.130767
3.59E+14,116.379028,39.865037
3.59E+14,116.379028,39.865037
3.59E+14,116.452316,39.756217
3.59E+14,116.327818,39.937494
3.59E+14,116.379028,39.865037
3.59E+14,116.379028,39.865037
3.59E+14,116.364671,39.860942
3.59E+14,116.283689,39.860121
3.59E+14,117.053934,40.16173
3.59E+14,116.477478,39.769156
3.59E+14,116.530016,40.034378
3.59E+14,116.405285,39.90499
3.60E+14,116.457119,39.996173
3.60E+14,116.48513,39.877007
3.60E+14,116.48513,39.877007
35EB5C65-D9C5-4091-8210-03A13883384F,116.419406,40.041648
35EB5C65-D9C5-4091-8210-03A13883384F,116.431021,39.959649
379020c6d4cda7bcf5f716ae1d00204f,116.203956,39.993021
388e63970c36a34b7500177d1f0c54f9c016b626,116.370065,39.832278
388e63970c36a34b7500177d1f0c54f9c016b626,116.455964,39.883211
388e63970c36a34b7500177d1f0c54f9c016b626,116.196251,39.925577
388e63970c36a34b7500177d1f0c54f9c016b626,116.370065,39.832278
39671cdf4b93513b69d252093cc655d2,116.40711,39.972509
3EE56B5A-E1E0-41D8-9C60-68DBA1418CCE,116.413658,39.958781
3a9cae7038c3d411a09fa551682ada79,116.405285,39.90499
3ba97eac9ea5fd5d781614577eca07d6,116.374249,39.982257
3ba97eac9ea5fd5d781614577eca07d6,116.374249,39.982257
3ba97eac9ea5fd5d781614577eca07d6,116.374249,39.982257
3ba97eac9ea5fd5d781614577eca07d6,116.374249,39.982257
3baea8306fc80ad0670ee2ee9edd10cb,116.670137,39.906423
3baea8306fc80ad0670ee2ee9edd10cb,116.350304,39.944299
3baea8306fc80ad0670ee2ee9edd10cb,116.522755,39.926603
3baea8306fc80ad0670ee2ee9edd10cb,116.522755,39.926603
3baea8306fc80ad0670ee2ee9edd10cb,116.522755,39.926603
3e3d8717fd722d8e22fed9a51ae337ea,116.320204,40.032981
3f5988b42edab7cf0d4946295ed3683c,115.988389,39.988197
4045b0709cb2f4e105aa22ba9278b422,116.400146,39.905522
406a0e57ec496e3323e6221f527154e2,116.341513,39.924083
433f61cf7c7c1013533475a7d1b5955e,116.275067,39.969199
433f61cf7c7c1013533475a7d1b5955e,116.275067,39.969199
433f61cf7c7c1013533475a7d1b5955e,116.421028,40.021783
43ed3dfda6e09e48f6cafec2a46dbcfc,116.494738,39.800987
44973114f15e3d005fe32bf639293f2f,116.588214,40.081215
44973114f15e3d005fe32bf639293f2f,116.410262,39.871726
454ae978d3226aeee2f75d873cc77c1b,116.562964,39.845515
486E0EBB-F682-4409-A59A-EC790CCCE7FF,116.38227,39.97222
4CA39615-6CC4-4A6C-8214-A03A224801F7,116.363755,39.942102
4bb1d18511368c1e1a462c3f54d86365,116.378517,39.928842
4bb1d18511368c1e1a462c3f54d86365,116.378517,39.928842
4bb1d18511368c1e1a462c3f54d86365,116.326644,40.00309
4d18777b14ee1ff293e23e555697431f,116.275903,39.927527
4d18777b14ee1ff293e23e555697431f,116.309615,39.984239
50360c2db2076e599de74ebc140fac8c,116.414564,39.901482
50360c2db2076e599de74ebc140fac8c,116.385167,39.96473
508cc4db9e6b6f57a5cc7cb98241660e,116.417001,39.913569
557b0d3fa38c82be133e5b8433c0c7df,116.328327,39.893901
55e7316f711526430b5b476492bea20d,115.952868,39.727157
55e7316f711526430b5b476492bea20d,116.153968,39.889705
55e7316f711526430b5b476492bea20d,116.392169,39.886375
55e7316f711526430b5b476492bea20d,115.952868,39.727157
55e7316f711526430b5b476492bea20d,116.418622,39.804507
55e7316f711526430b5b476492bea20d,116.212686,39.907443
5930ED7C-4731-44BF-8E46-28B2985A4AE5,116.371108,39.968868
5c45415362d47a6dc1946e1f4c1be002,116.247673,40.212376
5c999aad2cdc2fdc69b4a164d2b2dd6e,116.382256,39.880109
5d36710a19eb0fe6f19218ab5f8c51ed,116.464828,39.92854
5d36710a19eb0fe6f19218ab5f8c51ed,116.464828,39.92854
5d36710a19eb0fe6f19218ab5f8c51ed,116.253455,40.050684
5e7ae5a0603631aea34b191bc5ae54dd,116.321136,39.894991
5f38930c844e8282db0bbde444e0d6d6,116.421635,39.865686
63b6791481efeeb6b0a36448fa1f3d3b,116.428658,39.958712
63de7cc814446976e58c5a9ed9197526,116.461164,39.907464
63de7cc814446976e58c5a9ed9197526,116.427281,39.903716
63de7cc814446976e58c5a9ed9197526,116.461164,39.907464
63de7cc814446976e58c5a9ed9197526,116.427281,39.903716
63de7cc814446976e58c5a9ed9197526,116.427281,39.903716
63de7cc814446976e58c5a9ed9197526,116.427281,39.903716
63de7cc814446976e58c5a9ed9197526,116.461164,39.907464
63de7cc814446976e58c5a9ed9197526,116.461164,39.907464
65935bd5c3d8d3351f856c45e77513a9,116.378691,39.924668
65935bd5c3d8d3351f856c45e77513a9,116.378691,39.924668
68da2d007244216e8a222bcc3983c42e,116.327108,39.923518
6D026B03-B5A5-4567-8668-6068D2D09946,116.405195,40.008753
6f5b3ef5a04bfcd5d81b4c7589892360,116.642953,39.903323
6f5b3ef5a04bfcd5d81b4c7589892360,116.697048,39.873959
7091c2d1625e06cf6a76f1edbc9fa838,116.322036,40.113539
745E4F79-38BA-4488-9B08-B36EDC562811,116.12138,40.090349
78bb302608b7ab3da02bceb387f51431,116.378545,39.940952
78bb302608b7ab3da02bceb387f51431,116.383154,39.945759
79d24f9cdbbeb6f5727aaf2525ef1475,116.413852,40.088975
7a196f1552a941530ded835bc3869b8b,116.322512,39.947605
7a196f1552a941530ded835bc3869b8b,116.305641,40.075469
7a196f1552a941530ded835bc3869b8b,116.370352,39.961955
7a196f1552a941530ded835bc3869b8b,116.270629,40.074369
7b73ac577720cd152af8add3d82d4050,116.283845,39.917131
7b73ac577720cd152af8add3d82d4050,116.283845,39.917131
7b73ac577720cd152af8add3d82d4050,116.283845,39.917131
7eaaa5ac149e721c5298d9452eef597e,117.112334,40.144784
7f2cae17615812a6d8de09fe2b8f82e2,116.306695,39.881466
7f2cae17615812a6d8de09fe2b8f82e2,116.405285,39.90499
7f2cae17615812a6d8de09fe2b8f82e2,116.405285,39.90499
8191A0A1-82F7-4CC0-8B24-F022F9658E46,116.343872,39.825303
82a57bc35d4700a53cbd278a79c524d1,116.438692,39.865175
82a57bc35d4700a53cbd278a79c524d1,116.344372,39.916359
83f60c624e1499a9e9b134b1144c4eca,116.575734,40.001541
83f60c624e1499a9e9b134b1144c4eca,116.575734,40.001541
85faa088910e3b07005a921d53aaf65a,116.454529,39.933733
85faa088910e3b07005a921d53aaf65a,116.386118,39.941937
85faa088910e3b07005a921d53aaf65a,116.386118,39.941937
85faa088910e3b07005a921d53aaf65a,116.386118,39.941937
8.60E+14,116.313749,40.050725
8.60E+14,116.376077,39.970713
8.60E+14,116.313749,40.050725
8.60E+14,116.313749,40.050725
8.60E+14,116.438966,40.033855
8.60E+14,116.438966,40.033855
8.60E+14,116.438966,40.033855
8.60E+14,116.438966,40.033855
8.60E+14,116.433494,39.941138
8.60E+14,116.366271,39.912859
8.60E+14,116.366271,39.912859
8.60E+14,116.382024,39.880419
8.60E+14,116.35201,39.92464
8.60E+14,116.382024,39.880419
8.60E+14,116.366271,39.912859
8.60E+14,116.366271,39.912859
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.382024,39.880419
8.60E+14,116.360822,40.070533
8.60E+14,116.360822,40.070533
8.60E+14,116.360822,40.070533
8.60E+14,116.447589,39.872643
8.60E+14,116.35803,39.920631
8.60E+14,116.447589,39.872643
8.60E+14,116.447589,39.872643
8.61E+14,116.369676,39.970266
8.61E+14,116.325188,39.621245
8.61E+14,116.347449,39.960853
8.61E+14,116.467916,39.954601
8.61E+14,116.462754,39.945965
8.61E+14,116.40289,39.851536
8.61E+14,116.416773,39.969136
8.61E+14,116.409933,39.969894
8.61E+14,116.57109,39.803181
8.61E+14,116.259687,39.902426
8.61E+14,116.259687,39.902426
8.61E+14,116.386131,39.895293
8.61E+14,116.464574,39.96031
8.61E+14,116.401649,40.002849
8.61E+14,116.412711,39.990049
8.62E+14,116.265801,39.856184
8.62E+14,116.233943,39.84704
8.62E+14,116.233943,39.84704
8.62E+14,116.204559,39.994309
8.62E+14,116.017967,40.354414
8.62E+14,116.232386,40.225704
8.63E+14,116.587162,39.92752
8.63E+14,116.423661,39.907154
8.63E+14,116.587162,39.92752
8.63E+14,116.319807,39.670225
8.63E+14,116.481746,39.994054
8.63E+14,116.398118,39.861079
8.63E+14,116.398118,39.861079
8.63E+14,116.398118,39.861079
8.63E+14,116.211104,39.819535
8.63E+14,116.211104,39.819535
8.63E+14,116.211104,39.819535
8.63E+14,116.44705,39.973181
8.63E+14,116.419498,39.988942
8.63E+14,116.447176,39.972997
8.63E+14,116.407892,39.976912
8.63E+14,116.407892,39.976912
8.63E+14,116.407892,39.976912
8.64E+14,116.399713,39.900235
8.64E+14,116.405285,39.90499
8.64E+14,116.514926,39.904763
8.64E+14,116.401369,39.968406
8.64E+14,116.4548,40.10533
8.64E+14,116.297156,40.152618
8.64E+14,116.344023,40.099001
8.64E+14,116.316173,39.85617
8.64E+14,116.316173,39.85617
8.64E+14,116.183815,39.914651
8.64E+14,116.183815,39.914651
8.64E+14,116.490885,39.842411
8.65E+14,116.321159,39.896065
8.65E+14,116.321159,39.896065
8.65E+14,116.469984,39.887395
8.65E+14,116.388128,40.148279
8.66E+14,116.352831,39.941786
8.66E+14,116.462127,39.885713
8.66E+14,116.294562,39.779672
8.66E+14,116.291362,39.807626
8.67E+14,116.4129,39.883734
8.67E+14,116.412987,39.908415
8.67E+14,116.397693,39.90603
8.67E+14,116.590702,39.744896
8.67E+14,116.541394,39.753931
8.67E+14,116.568131,39.782192
8.67E+14,117.13395,40.151404
8.67E+14,117.13395,40.151404
8.67E+14,117.209279,40.146281
8.67E+14,116.692252,39.767162
8.67E+14,116.433376,39.953404
8.67E+14,116.355236,39.9406
8.67E+14,116.405285,39.90499
8.67E+14,116.587934,40.081579
8.67E+14,116.587934,40.081579
8.67E+14,116.314228,39.886726
8.67E+14,116.405285,39.90499
8.67E+14,116.31361,39.886575
8.67E+14,116.587934,40.081579
8.67E+14,116.31361,39.886575
8.67E+14,116.405285,39.90499
8.67E+14,116.314228,39.886726
8.67E+14,116.31361,39.886575
8.67E+14,116.31361,39.886575
8.67E+14,116.28205,40.021535
8.67E+14,116.28205,40.021535
8.67E+14,116.28205,40.021535
8.67E+14,116.28205,40.021535
8.68E+14,116.333313,39.92752
8.68E+14,116.31904,40.029894
8.68E+14,116.478053,40.014676
8.68E+14,116.31904,40.029894
8.68E+14,116.438016,40.020483
8.68E+14,116.438016,40.020483
8.68E+14,116.316303,40.021509
8.68E+14,116.31904,40.029894
8.68E+14,116.541421,39.942067
8.68E+14,116.491577,39.90641
8.68E+14,116.845964,40.379164
8.68E+14,116.845964,40.379164
8.68E+14,116.845964,40.379164
